Experiment,mAP50,mAP50-95,Precision,Recall
1. Baseline (YOLOv8n),0.7200299883479371,0.4368701406906771,0.8725102286905392,0.652034854161076
2. Architecture (YOLOv8s),0.7999504915826989,0.5247971714102275,0.9066604387868791,0.7388819879669907
3. Strategy Optimized,0.828004250541771,0.5547812410650241,0.9345429134444082,0.8034604910364772
4. Full + Custom Data,0.7871851486897965,0.5378301169742463,0.8718070764131521,0.7655091654533964
5. Arch + Custom (no strategy),0.7800613669808265,0.5286197328321501,0.8767352865903661,0.7422333100446012
